P32234	GO:0005525
P48347	GO:0005524
Q9S9Z8	GO:0051117
Q20655	GO:0008134
P42644	GO:0005524
P42645	GO:0005524
Q06967	GO:0008426
P31946	GO:0098641
P31946	GO:0019899
P31946	GO:0042826
P31946	GO:0051219
P31946	GO:0050815
P31946	GO:0019904
Q9CQV8	GO:0019904
P35213	GO:0008022
P35213	GO:0032403
P35213	GO:0003714
P92177	GO:0050815
P92177	GO:0046982
P62258	GO:0098641
P62258	GO:0019899
P62258	GO:0042826
P62258	GO:0044325
P62258	GO:0023026
P62258	GO:0051219
P62258	GO:0050815
P62258	GO:0044822
P62258	GO:0015459
P62258	GO:0046982
P62258	GO:0031625
P62259	GO:0019904
P62260	GO:0019899
P62260	GO:0032403
P62260	GO:0008426
Q04917	GO:0019899
Q04917	GO:0035259
Q04917	GO:0044325
Q04917	GO:0046982
Q04917	GO:0017080
P68510	GO:0003779
P68510	GO:0044325
P68510	GO:0019904
P61981	GO:0005159
P61981	GO:0044822
P61981	GO:0005080
P61982	GO:0019904
P61983	GO:0030234
P61983	GO:0030971
P31947	GO:0098641
P31947	GO:0008426
O70456	GO:0051219
O70456	GO:0019901
P27348	GO:0047485
P68254	GO:0019904
P68255	GO:0071889
P68255	GO:0044325
P68255	GO:0008022
P68255	GO:0047485
P29310	GO:0046982
P29310	GO:0042803
P63104	GO:0098641
P63104	GO:0042802
P63104	GO:0044822
P63104	GO:0019901
P63104	GO:0008134
P63104	GO:0031625
P63101	GO:0019904
P63102	GO:0032403
P54632	GO:0032038
P30443	GO:0046977
P01892	GO:0030881
P01892	GO:0042605
P01892	GO:0044822
P01892	GO:0005102
P01892	GO:0042608
P01892	GO:0046977
P04439	GO:0046977
Q9S9U6	GO:0016847
P13746	GO:0042605
P13746	GO:0046977
Q06402	GO:0016847
Q43309	GO:0016847
Q43309	GO:0042802
Q37001	GO:0016847
Q9SAR0	GO:0016847
Q9SAR0	GO:0042802
Q9STR4	GO:0016847
Q9STR4	GO:0042802
Q9T065	GO:0016847
Q9T065	GO:0042802
Q9M2Y8	GO:0016847
P37821	GO:0016847
P05534	GO:0046977
P16188	GO:0046977
P16189	GO:0046977
P10314	GO:0046977
