140U_DROME	GO:0007275
14310_ARATH	GO:0009742
14310_ARATH	GO:0009737
14331_CAEEL	GO:0045167
14331_CAEEL	GO:0001708
14331_CAEEL	GO:0000132
14331_CAEEL	GO:0030590
14331_CAEEL	GO:0007126
14331_CAEEL	GO:0009949
14331_CAEEL	GO:0035046
14331_CAEEL	GO:0007346
14331_CAEEL	GO:0010070
14332_ARATH	GO:0009742
14335_ARATH	GO:0046686
1433B_HUMAN	GO:0000186
1433B_HUMAN	GO:0007411
1433B_HUMAN	GO:0016044
1433B_HUMAN	GO:0051220
1433B_HUMAN	GO:0007173
1433B_HUMAN	GO:0008543
1433B_HUMAN	GO:0010467
1433B_HUMAN	GO:0035329
1433B_HUMAN	GO:0045087
1433B_HUMAN	GO:0008286
1433B_HUMAN	GO:0097193
1433B_HUMAN	GO:0000165
1433B_HUMAN	GO:0016071
1433B_HUMAN	GO:0035308
1433B_HUMAN	GO:0048011
1433B_HUMAN	GO:1900740
1433B_HUMAN	GO:0007265
1433B_MOUSE	GO:0006605
1433B_RAT	GO:0045892
1433B_RAT	GO:0051291
1433E_DROME	GO:0007411
1433E_DROME	GO:0008340
1433E_DROME	GO:0007294
1433E_DROME	GO:0007095
1433E_DROME	GO:0008103
1433E_DROME	GO:0007280
1433E_DROME	GO:0045927
1433E_DROME	GO:0007088
1433E_DROME	GO:0009411
1433E_DROME	GO:0048190
1433E_HUMAN	GO:0016044
1433E_HUMAN	GO:0000086
1433E_HUMAN	GO:0035329
1433E_HUMAN	GO:0097193
1433E_HUMAN	GO:0048011
1433E_HUMAN	GO:1900740
1433E_MOUSE	GO:0021987
1433E_MOUSE	GO:0021766
1433E_MOUSE	GO:0035308
1433E_MOUSE	GO:0001764
1433E_MOUSE	GO:0006605
1433E_RAT	GO:0007165
1433F_HUMAN	GO:0016044
1433F_HUMAN	GO:0006713
1433F_HUMAN	GO:0042921
1433F_HUMAN	GO:0097193
1433F_HUMAN	GO:1900740
1433F_HUMAN	GO:0045893
1433F_MOUSE	GO:0006886
1433F_MOUSE	GO:0050774
1433F_MOUSE	GO:2000649
1433G_HUMAN	GO:0016044
1433G_HUMAN	GO:0000086
1433G_HUMAN	GO:0097193
1433G_HUMAN	GO:1900740
1433G_HUMAN	GO:0045664
1433G_HUMAN	GO:0048167
1433G_MOUSE	GO:0006605
1433G_RAT	GO:0007165
1433S_HUMAN	GO:0016044
1433S_HUMAN	GO:0008630
1433S_HUMAN	GO:0043154
1433S_HUMAN	GO:1900740
1433S_HUMAN	GO:0001836
1433S_MOUSE	GO:0030216
1433S_MOUSE	GO:0043616
1433S_MOUSE	GO:0008285
1433S_MOUSE	GO:0030307
1433S_MOUSE	GO:0046827
1433S_MOUSE	GO:0000079
1433S_MOUSE	GO:0043588
1433T_HUMAN	GO:0016044
1433T_HUMAN	GO:0097193
1433T_HUMAN	GO:0045892
1433T_HUMAN	GO:1900740
1433T_MOUSE	GO:0006605
1433T_MOUSE	GO:0007264
1433Z_DROME	GO:0007059
1433Z_DROME	GO:0007294
1433Z_DROME	GO:0045448
1433Z_DROME	GO:0008103
1433Z_DROME	GO:0006457
1433Z_DROME	GO:0050821
1433Z_HUMAN	GO:0016044
1433Z_HUMAN	GO:0010467
1433Z_HUMAN	GO:0097193
1433Z_HUMAN	GO:0016071
1433Z_HUMAN	GO:0043066
1433Z_HUMAN	GO:0030168
1433Z_HUMAN	GO:1900740
1433Z_MOUSE	GO:0006605
1433Z_MOUSE	GO:0010941
1433Z_RAT	GO:0002553
1433Z_RAT	GO:0006626
1433_CANAL	GO:0034605
1433_CANAL	GO:0036244
1433_CANAL	GO:0001410
1433_CANAL	GO:0036180
1433_CANAL	GO:0036168
1433_CANAL	GO:0036178
1433_CANAL	GO:0009405
1433_CANAL	GO:1900445
1433_CANAL	GO:1900442
1433_CANAL	GO:0006109
1433_DICDI	GO:0036090
1433_DICDI	GO:0030865
1433_DICDI	GO:0000226
1433_DICDI	GO:0032467
1433_DICDI	GO:0008104
1433_DICDI	GO:0009617
143BA_DANRE	GO:0006911
143G1_DANRE	GO:0007420
143G1_DANRE	GO:0007507
18C_DROME	GO:0035092
18C_DROME	GO:0007290
1A01_HUMAN	GO:0002479
1A01_HUMAN	GO:0002480
1A01_HUMAN	GO:0016045
1A01_HUMAN	GO:0060333
1A01_HUMAN	GO:0050776
1A01_HUMAN	GO:0060337
1A02_HUMAN	GO:0002479
1A02_HUMAN	GO:0002480
1A02_HUMAN	GO:0060333
1A02_HUMAN	GO:0050690
1A02_HUMAN	GO:0050776
1A02_HUMAN	GO:0060337
1A02_HUMAN	GO:0016032
1A03_HUMAN	GO:0002479
1A03_HUMAN	GO:0002480
1A03_HUMAN	GO:0060333
1A03_HUMAN	GO:0050776
1A03_HUMAN	GO:0060337
1A110_ARATH	GO:0006520
1A112_ARATH	GO:0006520
1A12_ARATH	GO:0009693
1A14_ARATH	GO:0071281
1A15_ARATH	GO:0009693
1A15_ARATH	GO:0009735
1A16_ARATH	GO:0071281
1A16_ARATH	GO:0009693
1A16_ARATH	GO:0009733
1A16_ARATH	GO:0009753
1A16_ARATH	GO:0009612
1A16_ARATH	GO:0006979
1A16_ARATH	GO:0009611
1A17_ARATH	GO:0009693
1A18_ARATH	GO:0009693
1A19_ARATH	GO:0071281
1A19_ARATH	GO:0009693
1A19_ARATH	GO:0006417
1A1C_MALDO	GO:0009693
1B07_HUMAN	GO:0002479
1B07_HUMAN	GO:0002480
1B07_HUMAN	GO:0060333
1B07_HUMAN	GO:2001198
1B07_HUMAN	GO:0050776
1B07_HUMAN	GO:0032655
1B07_HUMAN	GO:0032675
1B07_HUMAN	GO:0002667
1B07_HUMAN	GO:0060337
1B08_HUMAN	GO:0002479
1B08_HUMAN	GO:0002480
1B08_HUMAN	GO:0060333
1B08_HUMAN	GO:0050776
1B08_HUMAN	GO:0060337
1B13_HUMAN	GO:0002479
1B13_HUMAN	GO:0002480
1B13_HUMAN	GO:0060333
1B13_HUMAN	GO:0050776
1B13_HUMAN	GO:0060337
1B14_HUMAN	GO:0002479
1B14_HUMAN	GO:0002480
1B14_HUMAN	GO:0060333
1B14_HUMAN	GO:0050776
1B14_HUMAN	GO:0060337
1B15_HUMAN	GO:0002479
1B15_HUMAN	GO:0002480
1B15_HUMAN	GO:0060333
1B15_HUMAN	GO:0050776
1B15_HUMAN	GO:0060337
1B18_HUMAN	GO:0002479
1B18_HUMAN	GO:0002480
1B18_HUMAN	GO:0060333
1B18_HUMAN	GO:0050776
1B18_HUMAN	GO:0060337
1B27_HUMAN	GO:0002479
1B27_HUMAN	GO:0002480
1B27_HUMAN	GO:0016045
1B27_HUMAN	GO:0060333
1B27_HUMAN	GO:0050776
1B27_HUMAN	GO:0060337
1B35_HUMAN	GO:0002479
1B35_HUMAN	GO:0002480
1B35_HUMAN	GO:0060333
1B35_HUMAN	GO:0050776
1B35_HUMAN	GO:0060337
1B37_HUMAN	GO:0002479
1B37_HUMAN	GO:0002480
1B37_HUMAN	GO:0060333
1B37_HUMAN	GO:0050776
1B37_HUMAN	GO:0060337
1B38_HUMAN	GO:0002479
1B38_HUMAN	GO:0002480
1B38_HUMAN	GO:0060333
1B38_HUMAN	GO:0050776
1B38_HUMAN	GO:0060337
1B39_HUMAN	GO:0002479
1B39_HUMAN	GO:0002480
1B39_HUMAN	GO:0060333
1B39_HUMAN	GO:0050776
1B39_HUMAN	GO:0060337
1B40_HUMAN	GO:0002479
1B40_HUMAN	GO:0002480
1B40_HUMAN	GO:0060333
1B40_HUMAN	GO:0050776
1B40_HUMAN	GO:0060337
1B41_HUMAN	GO:0002479
1B41_HUMAN	GO:0002480
1B41_HUMAN	GO:0060333
1B41_HUMAN	GO:0050776
1B41_HUMAN	GO:0060337
1B42_HUMAN	GO:0002479
1B42_HUMAN	GO:0002480
1B42_HUMAN	GO:0060333
1B42_HUMAN	GO:0050776
1B42_HUMAN	GO:0060337
1B44_HUMAN	GO:0002479
1B44_HUMAN	GO:0002480
1B44_HUMAN	GO:0060333
1B44_HUMAN	GO:0050776
1B44_HUMAN	GO:0060337
1B45_HUMAN	GO:0002479
1B45_HUMAN	GO:0002480
1B45_HUMAN	GO:0060333
1B45_HUMAN	GO:0050776
1B45_HUMAN	GO:0060337
1B46_HUMAN	GO:0002479
1B46_HUMAN	GO:0002480
1B46_HUMAN	GO:0060333
1B46_HUMAN	GO:0050776
1B46_HUMAN	GO:0060337
1B47_HUMAN	GO:0002479
1B47_HUMAN	GO:0002480
1B47_HUMAN	GO:0060333
1B47_HUMAN	GO:0050776
1B47_HUMAN	GO:0060337
1B49_HUMAN	GO:0002479
1B49_HUMAN	GO:0002480
1B49_HUMAN	GO:0060333
1B49_HUMAN	GO:0050776
1B49_HUMAN	GO:0060337
1B50_HUMAN	GO:0002479
1B50_HUMAN	GO:0002480
1B50_HUMAN	GO:0060333
1B50_HUMAN	GO:0050776
1B50_HUMAN	GO:0060337
1B51_HUMAN	GO:0002479
1B51_HUMAN	GO:0002480
1B51_HUMAN	GO:0060333
1B51_HUMAN	GO:0050776
1B51_HUMAN	GO:0060337
1B52_HUMAN	GO:0002479
1B52_HUMAN	GO:0002480
1B52_HUMAN	GO:0060333
1B52_HUMAN	GO:0050776
1B52_HUMAN	GO:0060337
1B53_HUMAN	GO:0002479
1B53_HUMAN	GO:0002480
1B53_HUMAN	GO:0060333
1B53_HUMAN	GO:0050776
1B53_HUMAN	GO:0060337
1B54_HUMAN	GO:0002479
1B54_HUMAN	GO:0002480
1B54_HUMAN	GO:0060333
1B54_HUMAN	GO:0050776
1B54_HUMAN	GO:0060337
1B55_HUMAN	GO:0002479
1B55_HUMAN	GO:0002480
1B55_HUMAN	GO:0060333
1B55_HUMAN	GO:0050776
